Country,Year,Wheat_Yield_kg_ha,Cereal_Yield_kg_ha,Agri_Land_Percent,Fertilizer_Use,Arable_Land_Percent
Afghanistan,2000,724.0,806.3,57.9458166597673,100.0,11.77958696
Afghanistan,2001,897.7,1006.7,57.9473498612453,100.0,11.77958696
Afghanistan,2002,1541.9,1669.8,57.9396838538552,104.7535662,11.77192095
Afghanistan,2003,1500.0,1458.0,58.0838047927878,166.8209305,11.91604189
Afghanistan,2004,1265.9,1334.8,58.1512656578201,170.4697297,11.98350275
Afghanistan,2005,1821.5,1790.4,58.134400441562,190.486853,11.96663754
Afghanistan,2006,1376.0,1551.7,58.123668031216,141.0127013,11.94977232
Afghanistan,2007,1818.3,1915.3,58.129800837128,96.48854062,11.94977232
Afghanistan,2008,1226.3,1455.4,58.132867240084,94.17906552,11.94977232
Afghanistan,2009,1966.6,2040.7,58.132867240084,108.1287667,11.94823912
Afghanistan,2010,1925.2,2011.1,58.134400441562,115.2470471,11.94823912
Afghanistan,2011,1517.9,1659.9,58.131334038606,155.9629668,11.94517272
Afghanistan,2012,2010.4,2094.2,58.129800837128,114.0859818,11.94363951
Afghanistan,2013,2024.8,2127.7,58.123668031216,220.5768003,11.93597351
Afghanistan,2014,2023.7,2096.6,58.123668031216,495.0867958,11.91450869
Afghanistan,2015,2195.9,2206.4,58.123668031216,648.3988218,11.90530948
Afghanistan,2016,1980.3,2043.3,58.123668031216,662.6182866,11.85011422
Afghanistan,2017,2034.2,2091.4,58.123668031216,986.8020305,11.80411818
Afghanistan,2018,2210.0,2253.2,58.2769881790166,847.5465313,11.94977232
Afghanistan,2019,2095.1,2184.7,58.2769881790166,535.5267281,11.94057311
Afghanistan,2020,1943.4,2050.8,58.7415482268525,427.5615717,12.00343437
Afghanistan,2021,1963.1,2099.1,58.7415482268525,255.2547471,12.00343437
Afghanistan,2022,2045.3,2193.4,58.7415482268525,248.0228113,11.97430354
Afghanistan,2023,2150.6,2295.4,58.4395075356853,324.2902801,12.0294988
Algeria,2000,919.4,883.3,16.8032614811021,83.15315315,3.216975824
Algeria,2001,1110.4,1106.9,16.8402092587772,68.37662338,3.183806797
Algeria,2002,1073.9,1058.6,16.7335645368512,76.11401674,3.168691797
Algeria,2003,1448.0,1470.3,16.7548514951254,42.62684589,3.150511811
Algeria,2004,1358.2,1344.1,17.27518536868,90.69065303,3.146019297
Algeria,2005,1505.7,1500.8,17.3028962019364,53.90321646,3.153576797
Algeria,2006,1506.8,1503.7,17.2903003686381,191.4434783,3.136362491
Algeria,2007,1274.2,1253.5,17.3201105074441,61.94800155,3.13594263
Algeria,2008,1103.8,1034.0,17.344042590711,283.9566755,3.144339852
Algeria,2009,1597.5,1653.9,17.3738527295171,347.4025974,3.146019297
Algeria,2010,1483.8,1474.3,17.3713335628574,271.7889908,3.149798047
Algeria,2011,1740.5,1643.3,17.3772116183966,265.8426966,3.149798047
Algeria,2012,1763.9,1677.6,17.381490003107,287.432675,3.151687422
Algeria,2013,1910.0,1813.1,17.3955322579291,175.6784969,3.147362852
Algeria,2014,1475.3,1369.2,17.3952656461243,40.51467461,3.136110575
Algeria,2015,1464.0,1400.2,17.4059228102468,21.79200794,3.133044273
Algeria,2016,1183.3,1020.4,17.3655321884285,14.4756415,3.108734325
Algeria,2017,1150.1,990.3,17.3550108093197,14.4756415,3.136700044
Algeria,2018,2043.3,1952.0,17.3565679895505,14.4756415,3.149252417
Algeria,2019,1963.0,1767.4,17.3469816184806,14.4756415,3.161974019
Algeria,2020,1681.1,1520.4,17.3352255074022,14.4756415,3.161974019
Algeria,2021,1584.3,1433.7,17.3306070351928,14.4756415,3.161974019
Algeria,2022,1666.7,1408.0,17.351348174024,14.4756415,3.161974019
Algeria,2023,1388.9,1234.6,17.359031632336,14.4756415,3.161974019
Argentina,2000,2490.5,3461.8,46.9581867146078,587.0632653,10.09979208
Argentina,2001,2235.4,3398.6,46.9932655872605,198.9363028,10.13852501
Argentina,2002,2033.2,3275.7,47.031267699301,160.8512507,10.18091198
Argentina,2003,2539.2,3308.7,47.1749814557001,197.5844949,10.89937114
Argentina,2004,2627.1,3658.8,47.3186952120993,222.144902,11.6178303
Argentina,2005,2530.9,4075.8,47.4737365211259,208.3625494,12.34761701
Argentina,2006,2625.8,3707.6,47.5533947944415,218.9827268,13.00202069
Argentina,2007,2830.6,4294.0,47.4910932549905,382.6881166,13.51446455
Argentina,2008,1963.3,4116.5,46.4235627710848,305.8803098,13.02167947
Argentina,2009,2757.1,3249.3,45.4302094866426,153.2786359,12.60307159
Argentina,2010,3503.4,4876.2,46.1389123357048,343.5883938,13.88651985
Argentina,2011,3225.1,4596.3,45.7919603608739,303.389554,14.11431328
Argentina,2012,2658.4,4162.4,45.5813044224958,253.0057898,14.47840274
